ccg_code,ccg_name,ccg_patient_count,ccg_scrips_per_head,ccg_spend_per_head,ccg_scrips_drift
02N,"NHS Airedale, Wharfdale and Craven CCG",124811.0,4.326541731097419E-4,0.017411686469942556,1.5798346154260559
02P,NHS Barnsley CCG,180064.0,0.0019437533321485694,0.08388184201172912,1.54881437051994
02Q,NHS Bassetlaw CCG,90256.0,0.0016840985640843823,0.07672819535543343,1.5541446325667503
02R,NHS Bradford Districts CCG,251063.0,7.289007141633773E-4,0.02472817579651322,1.5737531877440243
02T,NHS Calderdale CCG,166522.0,9.368131538175136E-4,0.04283349947754651,1.5694851059583117
02V,NHS Leeds North CCG,161520.0,5.07677067855374E-4,0.022995294700346704,1.5782945255155727
02W,NHS Bradford City CCG,71481.0,2.518151676669325E-4,0.01250863865922413,1.58354692656319
02X,NHS Doncaster CCG,247262.0,0.001306306670657036,0.04740906406969126,1.5619000449019116
02Y,NHS East Riding of Yorkshire CCG,247261.0,5.783362519766563E-4,0.02138096990629333,1.5768440150158496
03A,NHS Greater Huddersfield CCG,185941.0,0.0012315734560962887,0.057327485600271025,1.5634341881806164
03C,NHS Leeds West CCG,291181.0,7.108980324952521E-4,0.038640330241327556,1.5741227515750749
03D,"NHS Hambleton, Richmondshire and Whitby CCG",115576.0,5.450958676541843E-4,0.023151692392884334,1.5775263824543388
03E,NHS Harrogate and Rural District CCG,130748.0,0.001223728087618931,0.04786360020803375,1.5635952399885606
03F,NHS Hull CCG,226105.0,6.457176975299087E-4,0.020900731960814663,1.5754607908040648
03G,NHS Leeds South and East CCG,198646.0,8.859982078672613E-4,0.03879242471532271,1.5705282486659484
03H,NHS North East Lincolnshire CCG,131600.0,0.002621580547112462,0.09721033434650461,1.5348997534106399
03J,NHS North Kirklees CCG,141150.0,7.438894792773645E-4,0.033768969181721564,1.5734454943925356
03K,NHS North Lincolnshire CCG,133511.0,0.0015429440270839107,0.06398072068968101,1.557042290394943
03L,NHS Rotherham CCG,202117.0,5.046581930268112E-4,0.020760846440428072,1.5783564977799094
03M,NHS Scarborough and Ryedale CCG,97630.0,0.002724572365051726,0.129661886715149,1.5327855100158956
03N,NHS Sheffield CCG,448552.0,0.0031211542920330307,0.13700215359646126,1.5246443708810389
03Q,NHS Vale of York CCG,277850.0,6.190390498470397E-4,0.02862746086017635,1.576008457169926
03R,NHS Wakefield CCG,283387.0,0.0017255555124264699,0.06946839480992419,1.5532935933196306
03T,NHS Lincolnshire East CCG,199805.0,0.001946898225770126,0.08155466579915416,1.5487498113083482
03V,NHS Corby CCG,40408.0,0.006063155810730548,0.22218570580083152,1.46425018226789
03W,NHS East Leicestershire and Rutland CCG,254405.0,0.0015447809594937207,0.06326098150586663,1.5570045813585192
03X,NHS Erewash CCG,79014.0,0.0019363657073430025,0.08112638266636289,1.5489660256442066
03Y,NHS Hardwick CCG,83276.0,0.0021975118881790673,0.07080527402853161,1.5436051474798747
04C,NHS Leicester City CCG,283732.0,0.0014732212087462818,0.06789139046706044,1.558473578929147
04D,NHS Lincolnshire West CCG,180787.0,0.0027767483281430634,0.10335029620492625,1.5317144279868806
04E,NHS Mansfield and Ashfield CCG,147551.0,5.760720022229602E-4,0.029834565675596912,1.5768904961362105
04F,NHS Milton Keynes CCG,201834.0,0.0011643231566534876,0.045679865632153135,1.5648147201902114
04G,NHS Nene CCG,492344.0,0.003209138326048454,0.12255264611734883,1.5228382112609633
04H,NHS Newark & Sherwood CCG,103252.0,5.036222058652617E-4,0.023382016813233646,1.5783777647995345
04J,NHS North Derbyshire CCG,236688.0,0.001888562157777327,0.06442929088082201,1.5499473496069913
04K,NHS Nottingham City CCG,271805.0,0.00141645665090782,0.06164393590993545,1.5596388568499266
04L,NHS Nottingham North and East CCG,115117.0,0.002136956314010963,0.093769643058801,1.5448482483908168
04M,NHS Nottingham West CCG,76516.0,0.0013330545245438862,0.04818155679857807,1.5613509578527132
04N,NHS Rushcliffe CCG,98578.0,0.0011665888940737283,0.05202316946986142,1.5647682085306367
